âÊëfíl,î≠ê∂ïpìx[%],î≠ê∂êî
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0.0011,3
23,0,0
24,0.0027,7
25,0,0
26,0.0156,41
27,0,0
28,0.1614,423
29,0,0
30,0.2544,667
31,0,0
32,0.576,1510
33,0,0
34,0.4772,1251
35,0,0
36,0.824,2160
37,0,0
38,0.6363,1668
39,0,0
40,1.0502,2753
41,0,0
42,1.157,3033
43,0,0
44,0.9075,2379
45,0,0
46,1.5461,4053
47,0,0
48,1.0292,2698
49,0,0
50,1.6266,4264
51,0,0
52,1.0925,2864
53,0,0
54,1.712,4488
55,0,0
56,1.1513,3018
57,0,0
58,1.8589,4873
59,0,0
60,1.9585,5134
61,0,0
62,1.3798,3617
63,0,0
64,2.1774,5708
65,0,0
66,1.4809,3882
67,0,0
68,2.2846,5989
69,0,0
70,1.5778,4136
71,0,0
72,2.43,6370
73,0,0
74,1.6365,4290
75,0,0
76,2.4704,6476
77,0,0
78,1.6708,4380
79,0,0
80,2.5505,6686
81,0,0
82,2.3571,6179
83,0,0
84,1.5759,4131
85,0,0
86,2.3598,6186
87,0,0
88,1.6022,4200
89,0,0
90,2.3106,6057
91,0,0
92,1.4149,3709
93,0,0
94,2.2324,5852
95,0,0
96,1.5015,3936
97,0,0
98,2.1667,5680
99,0,0
100,2.1465,5627
101,0,0
102,1.3706,3593
103,0,0
104,2.0058,5258
105,0,0
106,1.2432,3259
107,0,0
108,1.8127,4752
109,0,0
110,1.1078,2904
111,0,0
112,1.5511,4066
113,0,0
114,0.9823,2575
115,0,0
116,1.6136,4230
117,0,0
118,1.0788,2828
119,0,0
120,1.5194,3983
121,0,0
122,1.2966,3399
123,0,0
124,0.827,2168
125,0,0
126,0.9064,2376
127,0,0
128,0.5997,1572
129,0,0
130,0.9651,2530
131,0,0
132,0.6836,1792
133,0,0
134,1.1906,3121
135,0,0
136,0.8858,2322
137,0,0
138,1.2699,3329
139,0,0
140,1.3683,3587
141,0,0
142,0.9777,2563
143,0,0
144,1.4717,3858
145,0,0
146,0.9716,2547
147,0,0
148,1.3664,3582
149,0,0
150,0.8938,2343
151,0,0
152,1.2207,3200
153,0,0
154,0.8389,2199
155,0,0
156,1.2569,3295
157,0,0
158,0.7416,1944
159,0,0
160,0.9338,2448
161,0,0
162,0.8186,2146
163,0,0
164,0.5287,1386
165,0,0
166,0.9056,2374
167,0,0
168,0.6874,1802
169,0,0
170,1.1204,2937
171,0,0
172,0.7301,1914
173,0,0
174,0.8636,2264
175,0,0
176,0.4421,1159
177,0,0
178,0.6302,1652
179,0,0
180,0.6313,1655
181,0,0
182,0.1968,516
183,0,0
184,0.1213,318
185,0,0
186,0.0076,20
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
