âÊëfíl,î≠ê∂ïpìx[%],î≠ê∂êî
0,2.3924,25838
1,2.0086,21693
2,1.6359,17668
3,1.2457,13454
4,1.2039,13002
5,1.2091,13058
6,0.8852,9560
7,0.9003,9723
8,0.6279,6781
9,0.9987,10786
10,0.6837,7384
11,1.0615,11464
12,0.7284,7867
13,0.7734,8353
14,0.8163,8816
15,0.8324,8990
16,0.8748,9448
17,0.9244,9984
18,0.9486,10245
19,0.9706,10483
20,1.0129,10939
21,0.5088,5495
22,1.0147,10959
23,1,10800
24,0.5066,5471
25,0.9756,10537
26,0.4853,5241
27,0.9535,10298
28,0.4585,4952
29,0.8982,9701
30,0.4418,4771
31,0.8502,9182
32,0.4188,4523
33,0.808,8726
34,0.4075,4401
35,0.3874,4184
36,0.7556,8161
37,0.3584,3871
38,0.3564,3849
39,0.3527,3809
40,0.6692,7227
41,0.3214,3471
42,0.3047,3291
43,0.2985,3224
44,0.5937,6412
45,0.2811,3036
46,0.2646,2858
47,0.2471,2669
48,0.2501,2701
49,0.2461,2658
50,0.4728,5106
51,0.2235,2414
52,0.2226,2404
53,0.2101,2269
54,0.2044,2208
55,0.1919,2072
56,0.1885,2036
57,0.1819,1964
58,0.164,1771
59,0.152,1642
60,0.1544,1667
61,0.1492,1611
62,0.1401,1513
63,0.138,1490
64,0.1216,1313
65,0.1258,1359
66,0.1198,1294
67,0.116,1253
68,0.1104,1192
69,0.1109,1198
70,0.1007,1088
71,0.1059,1144
72,0.0885,956
73,0.0898,970
74,0.0967,1044
75,0.0915,988
76,0.0874,944
77,0.0813,878
78,0,0
79,0.0845,913
80,0.0788,851
81,0.0749,809
82,0.0719,777
83,0.0697,753
84,0.0688,743
85,0.0691,746
86,0,0
87,0.0673,727
88,0.0655,707
89,0.0642,693
90,0.0616,665
91,0.0668,721
92,0,0
93,0.0594,641
94,0.0642,693
95,0.0551,595
96,0.0557,602
97,0.0561,606
98,0,0
99,0.0626,676
100,0.0728,786
101,0.076,821
102,0.0869,939
103,0,0
104,0.0828,894
105,0.0969,1047
106,0.1133,1224
107,0,0
108,0.1166,1259
109,0.123,1328
110,0.1375,1485
111,0,0
112,0.1499,1619
113,0.1798,1942
114,0.2706,2923
115,0,0
116,0.3035,3278
117,0.2993,3232
118,0.2778,3000
119,0,0
120,0.2346,2534
121,0.1901,2053
122,0.2117,2286
123,0,0
124,0.2781,3003
125,0.3293,3556
126,0,0
127,0.3332,3599
128,0.4829,5215
129,0.4269,4611
130,0,0
131,0.5391,5822
132,0.5759,6220
133,0,0
134,0.5644,6096
135,0.5741,6200
136,0,0
137,0.6835,7382
138,0.7281,7863
139,0,0
140,0.9001,9721
141,1.0519,11361
142,0,0
143,1.0554,11398
144,1.2588,13595
145,0,0
146,1.4094,15222
147,1.4458,15615
148,0,0
149,1.5022,16224
150,1.4878,16068
151,0,0
152,1.4732,15911
153,1.734,18727
154,0,0
155,1.8181,19636
156,1.8345,19813
157,0,0
158,2.0359,21988
159,0,0
160,1.9895,21487
161,1.7412,18805
162,0,0
163,1.8699,20195
164,1.9286,20829
165,0,0
166,1.9806,21391
167,0,0
168,2.23,24084
169,2.3668,25561
170,0,0
171,1.9527,21089
172,1.6678,18012
173,0,0
174,1.4511,15672
175,0,0
176,1.2592,13599
177,1.2309,13294
178,0,0
179,1.1373,12283
180,0,0
181,1.0524,11366
182,0.9501,10261
183,0,0
184,0.7464,8061
185,0,0
186,0.6485,7004
187,0,0
188,0.5639,6090
189,0.4939,5334
190,0,0
191,0.4121,4451
192,0,0
193,0.3162,3415
194,0,0
195,0.1915,2068
196,0.164,1771
197,0,0
198,0.1196,1292
199,0,0
200,0.0838,905
201,0,0
202,0.0819,885
203,0.0666,719
204,0,0
205,0.0512,553
206,0,0
207,0.037,400
208,0,0
209,0.0231,249
210,0,0
211,0.0151,163
212,0.0069,75
213,0,0
214,0.0051,55
215,0,0
216,0.0039,42
217,0,0
218,0.0026,28
219,0,0
220,0.0035,38
221,0,0
222,0.003,32
223,0,0
224,0.002,22
225,0.0019,21
226,0,0
227,0.0019,21
228,0,0
229,0.0019,20
230,0,0
231,0.001,11
232,0,0
233,0.001,11
234,0,0
235,0.0009,10
236,0,0
237,0.0006,7
238,0,0
239,0.0009,10
240,0,0
241,0.0014,15
242,0,0
243,0.0012,13
244,0,0
245,0.0013,14
246,0,0
247,0.0007,8
248,0,0
249,0.0009,10
250,0,0
251,0.0009,10
252,0,0
253,0.0018,19
254,0,0
255,0.0004,4
