âÊëfíl,î≠ê∂ïpìx[%],î≠ê∂êî
0,0.0241,260
1,0.0339,366
2,0.0357,386
3,0.0822,888
4,0.0245,265
5,0.0329,355
6,0.0267,288
7,0.0228,246
8,0.0256,277
9,0.0269,291
10,0.0293,316
11,0.0309,334
12,0.0316,341
13,0.0356,384
14,0.0375,405
15,0.0411,444
16,0.0513,554
17,0.0502,542
18,0.0633,684
19,0.0715,772
20,0.0777,839
21,0.0912,985
22,0.1164,1257
23,0.1225,1323
24,0.1401,1513
25,0.1677,1811
26,0.1925,2079
27,0.2173,2347
28,0.2464,2661
29,0.2766,2987
30,0.311,3359
31,0.3441,3716
32,0.3978,4296
33,0.4356,4705
34,0.4856,5244
35,0.5351,5779
36,0.5677,6131
37,0.604,6523
38,0.637,6880
39,0.6326,6832
40,0.668,7214
41,0.6589,7116
42,0.6525,7047
43,0.6268,6769
44,0.597,6448
45,0.5713,6170
46,0.56,6048
47,0.5393,5824
48,0.5179,5593
49,0.5276,5698
50,0.5124,5534
51,0.5053,5457
52,0.4882,5273
53,0.479,5173
54,0.4751,5131
55,0.4685,5060
56,0.4598,4966
57,0.4488,4847
58,0.4442,4797
59,0.4347,4695
60,0.4275,4617
61,0.4213,4550
62,0.427,4612
63,0.4221,4559
64,0.4281,4624
65,0.4237,4576
66,0.4317,4662
67,0.4421,4775
68,0.4542,4905
69,0.4372,4722
70,0.431,4655
71,0.4532,4895
72,0.4303,4647
73,0.4315,4660
74,0.4228,4566
75,0.4138,4469
76,0.4047,4371
77,0.3976,4294
78,0.3873,4183
79,0.3955,4271
80,0.3858,4167
81,0.3693,3988
82,0.3807,4112
83,0.3669,3963
84,0.3649,3941
85,0.3387,3658
86,0.3231,3489
87,0.312,3370
88,0.3163,3416
89,0.3083,3330
90,0.3036,3279
91,0.2884,3115
92,0.3012,3253
93,0.2913,3146
94,0.2731,2949
95,0.2695,2911
96,0.2479,2677
97,0.2467,2664
98,0.2349,2537
99,0.2281,2463
100,0.2311,2496
101,0.2175,2349
102,0.2214,2391
103,0.2138,2309
104,0.2111,2280
105,0.2092,2259
106,0.2069,2235
107,0.2042,2205
108,0.1939,2094
109,0.2026,2188
110,0.205,2214
111,0.2124,2294
112,0.227,2452
113,0.2291,2474
114,0.2365,2554
115,0.2498,2698
116,0.2381,2572
117,0.2423,2617
118,0.2337,2524
119,0.2378,2568
120,0.2487,2686
121,0.2494,2693
122,0.2459,2656
123,0.2457,2654
124,0.2583,2790
125,0.2641,2852
126,0.268,2894
127,0.292,3154
128,0.3044,3287
129,0.3232,3491
130,0.3337,3604
131,0.3562,3847
132,0.3661,3954
133,0.3914,4227
134,0.3814,4119
135,0.3617,3906
136,0.3431,3706
137,0.337,3640
138,0.3305,3569
139,0.3181,3435
140,0.3156,3408
141,0.3148,3400
142,0.3063,3308
143,0.3263,3524
144,0.3395,3667
145,0.3562,3847
146,0.3373,3643
147,0.3372,3642
148,0.3602,3890
149,0.3845,4153
150,0.393,4244
151,0.39,4212
152,0.4244,4583
153,0.4187,4522
154,0.423,4568
155,0.4582,4949
156,0.4878,5268
157,0.4815,5200
158,0.4614,4983
159,0.5065,5470
160,0.5316,5741
161,0.5171,5585
162,0.5031,5433
163,0.5214,5631
164,0.5206,5622
165,0.5202,5618
166,0.5515,5956
167,0.5679,6133
168,0.5631,6081
169,0.5731,6189
170,0.656,7085
171,0.6692,7227
172,0.6162,6655
173,0.5559,6004
174,0.5556,6001
175,0.5011,5412
176,0.435,4698
177,0.4204,4540
178,0.4118,4447
179,0.3999,4319
180,0.3669,3962
181,0.3987,4306
182,0.4138,4469
183,0.3777,4079
184,0.4154,4486
185,0.4516,4877
186,0.4888,5279
187,0.5264,5685
188,0.53,5724
189,0.6133,6624
190,0.4449,4805
191,0.4898,5290
192,0.4834,5221
193,0.4865,5254
194,0.717,7744
195,0.3469,3747
196,0.6206,6703
197,0.677,7312
198,0.7125,7695
199,0.7682,8297
200,0.9165,9898
201,1.5148,16360
202,1.0827,11693
203,1.2,12960
204,0.6558,7083
205,0.9777,10559
206,0.7959,8596
207,0.8038,8681
208,0.5413,5846
209,0.5102,5510
210,0.6527,7049
211,0.8145,8797
212,1.073,11588
213,1.3283,14346
214,1.7686,19101
215,2.27,24516
216,2.3507,25388
217,2.1088,22775
218,1.8487,19966
219,1.7208,18585
220,1.2681,13695
221,0.7938,8573
222,0.4756,5137
223,0.2453,2649
224,0.1284,1387
225,0.0599,647
226,0.0322,348
227,0.0149,161
228,0.0068,73
229,0.0029,31
230,0.0012,13
231,0.0005,5
232,0.0002,2
233,0.0002,2
234,0.0005,5
235,0.0004,4
236,0.0005,5
237,0.0006,6
238,0.0003,3
239,0.0006,7
240,0.0006,6
241,0.0003,3
242,0.0002,2
243,0.0001,1
244,0.0006,7
245,0.0003,3
246,0.0004,4
247,0,0
248,0.0002,2
249,0,0
250,0.0001,1
251,0.0001,1
252,0,0
253,0,0
254,0,0
255,0,0
